District,Children_Under5,Stunted,Underweight,Wasted,VitaminA_Deficiency,Iodine_Deficiency,Latitude,Longitude,Stunted_pct,Underweight_pct,Wasted_pct,VitaminA_pct,Iodine_pct,VitaminA_Deficiency_pct,Iodine_Deficiency_pct,stunted_per_1000,underweight_per_1000,wasted_per_1000,micronutrient_deficiency_score,high_risk_stunted
huye,900,200,120,50,110,95,-2.586,29.739,22.22,13.33,5.56,12.22,10.56,12.22,10.56,222.2222222222222,133.33333333333334,55.55555555555555,22.78,1
rwamagana,800,150,70,40,90,80,-2.041,30.445,18.75,8.75,5.0,11.25,10.0,11.25,10.0,187.5,87.5,50.0,21.25,0
musanze,1000,220,100,70,130,100,-1.501,29.632,22.0,10.0,7.0,13.0,10.0,13.0,10.0,220.0,100.0,70.0,23.0,1
nyagatare,750,130,60,30,80,60,-1.285,30.326,17.33,8.0,4.0,10.67,8.0,10.67,8.0,173.33333333333334,80.0,40.0,18.67,0
gisagara,670,110,50,20,60,55,-2.423,29.74,16.42,7.46,2.99,8.96,8.21,8.96,8.21,164.17910447761193,74.62686567164178,29.850746268656717,17.17,0
gatsibo,820,140,70,30,90,75,-1.648,30.404,17.07,8.54,3.66,10.98,9.15,10.98,9.15,170.7317073170732,85.3658536585366,36.58536585365854,20.130000000000003,0
kayonza,710,120,65,25,85,70,-2.0,30.637,16.9,9.15,3.52,11.97,9.86,11.97,9.86,169.01408450704224,91.54929577464789,35.21126760563381,21.83,0
rubavu,950,180,95,50,120,100,-1.748,29.259,18.95,10.0,5.26,12.63,10.53,12.63,10.53,189.47368421052633,100.0,52.63157894736842,23.16,1
rutsiro,600,100,55,20,60,50,-1.857,29.354,16.67,9.17,3.33,10.0,8.33,10.0,8.33,166.66666666666666,91.66666666666666,33.333333333333336,18.33,0
nyamasheke,550,90,45,15,55,50,-2.46,29.18,16.36,8.18,2.73,10.0,9.09,10.0,9.09,163.63636363636363,81.81818181818181,27.27272727272727,19.09,0
rusizi,880,160,80,45,110,90,-2.453,29.083,18.18,9.09,5.11,12.5,10.23,12.5,10.23,181.8181818181818,90.9090909090909,51.13636363636364,22.73,0
nyamagabe,700,130,65,25,80,70,-2.43,29.28,18.57,9.29,3.57,11.43,10.0,11.43,10.0,185.71428571428572,92.85714285714286,35.714285714285715,21.43,0
nyaruguru,650,110,60,20,70,65,-2.62,29.4,16.92,9.23,3.08,10.77,10.0,10.77,10.0,169.23076923076923,92.3076923076923,30.76923076923077,20.77,0
karongi,680,120,65,25,75,70,-2.03,29.37,17.65,9.56,3.68,11.03,10.29,11.03,10.29,176.47058823529412,95.58823529411764,36.76470588235294,21.32,0
ngororero,540,90,50,15,55,50,-1.76,29.5,16.67,9.26,2.78,10.19,9.26,10.19,9.26,166.66666666666666,92.59259259259258,27.777777777777775,19.45,0
rulindo,720,140,70,30,90,75,-1.545,29.78,19.44,9.72,4.17,12.5,10.42,12.5,10.42,194.44444444444446,97.22222222222223,41.666666666666664,22.92,1
gicumbi,780,150,75,35,95,80,-1.5,30.02,19.23,9.62,4.49,12.18,10.26,12.18,10.26,192.30769230769232,96.15384615384616,44.87179487179487,22.439999999999998,1
burera,730,140,70,30,95,80,-1.46,29.84,19.18,9.59,4.11,13.01,10.96,13.01,10.96,191.7808219178082,95.8904109589041,41.0958904109589,23.97,1
kirehe,810,150,75,35,100,85,-2.051,30.626,18.52,9.26,4.32,12.35,10.49,12.35,10.49,185.18518518518516,92.59259259259258,43.20987654320987,22.84,0
ngoma,790,145,70,33,95,80,-2.175,30.676,18.35,8.86,4.18,12.03,10.13,12.03,10.13,183.54430379746836,88.60759493670886,41.77215189873418,22.16,0
bugesera,760,135,65,30,85,75,-2.22,30.35,17.76,8.55,3.95,11.18,9.87,11.18,9.87,177.6315789473684,85.52631578947368,39.473684210526315,21.049999999999997,0
gakenke,680,130,60,25,80,70,-1.592,29.74,19.12,8.82,3.68,11.76,10.29,11.76,10.29,191.17647058823528,88.23529411764706,36.76470588235294,22.049999999999997,1
kicukiro,720,140,70,30,95,80,-1.973,30.12,19.44,9.72,4.17,13.19,11.11,13.19,11.11,194.44444444444446,97.22222222222223,41.666666666666664,24.299999999999997,1
nyarugenge,810,150,75,35,100,85,-1.949,30.058,18.52,9.26,4.32,12.35,10.49,12.35,10.49,185.18518518518516,92.59259259259258,43.20987654320987,22.84,0
gasabo,850,160,80,40,110,90,-1.953,30.06,18.82,9.41,4.71,12.94,10.59,12.94,10.59,188.23529411764704,94.11764705882352,47.05882352941176,23.53,0
muhanga,690,125,60,28,78,68,-2.06,29.75,18.12,8.7,4.06,11.3,9.86,11.3,9.86,181.15942028985506,86.95652173913044,40.57971014492753,21.16,0
nyabihu,570,100,55,20,60,55,-1.5,29.25,17.54,9.65,3.51,10.53,9.65,10.53,9.65,175.43859649122805,96.49122807017544,35.08771929824561,20.18,0
kamonyi,680,125,60,28,75,65,-2.2,29.85,18.38,8.82,4.12,11.03,9.56,11.03,9.56,183.82352941176472,88.23529411764706,41.1764705882353,20.59,0
ruhango,640,115,60,22,70,65,-2.2,29.8,17.97,9.38,3.44,10.94,10.16,10.94,10.16,179.6875,93.75,34.375,21.1,0
nyanza,700,130,65,25,80,70,-2.35,29.75,18.57,9.29,3.57,11.43,10.0,11.43,10.0,185.71428571428572,92.85714285714286,35.714285714285715,21.43,0
