Underweight_pct,Wasted_pct,VitaminA_pct,Iodine_pct,District,true_label,pred_label,pred_prob,Children_Under5,Stunted,Underweight,Wasted,VitaminA_Deficiency,Iodine_Deficiency,Latitude,Longitude,Education_pct,Health_Access_pct,Risk_Level,Root_Causes,Characteristics,Health_Rec,Agri_Rec,Edu_Rec
13.33,5.56,12.22,10.56,Huye,1,1,0.91,900,200,120,50,110,95,-2.586,29.739,85,90,High,"['High Underweight %', 'High Wasting %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, High prevalence of wasting, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
8.75,5.0,11.25,10.0,Rwamagana,0,0,0.05,800,150,70,40,90,80,-2.041,30.445,82,88,Low,"['High Underweight %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
10.0,7.0,13.0,10.0,Musanze,1,1,0.76,1000,220,100,70,130,100,-1.501,29.632,80,85,High,"['High Underweight %', 'High Wasting %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, High prevalence of wasting, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
8.0,4.0,10.67,8.0,Nyagatare,0,0,0.03,750,130,60,30,80,60,-1.285,30.326,78,83,Low,"['High Underweight %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
7.46,2.99,8.96,8.21,Gisagara,0,0,0.0,670,110,50,20,60,55,-2.423,29.74,87,92,Low,"['Vitamin A Deficiency', 'Iodine Deficiency']","Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
8.54,3.66,10.98,9.15,Gatsibo,0,0,0.0,820,140,70,30,90,75,-1.648,30.404,81,84,Low,"['High Underweight %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
9.15,3.52,11.97,9.86,Kayonza,0,0,0.26,710,120,65,25,85,70,-2.0,30.637,79,82,Low,"['High Underweight %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
10.0,5.26,12.63,10.53,Rubavu,1,1,1.0,950,180,95,50,120,100,-1.748,29.259,76,80,High,"['High Underweight %', 'High Wasting %', 'Vitamin A Deficiency', 'Iodine Deficiency']","High prevalence of underweight, High prevalence of wasting, Vitamin A deficiency, Iodine deficiency","['Vitamin A supplementation program', 'Iodine supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
9.17,3.33,10.0,8.33,Rutsiro,0,0,0.0,600,100,55,20,60,50,-1.857,29.354,88,91,Low,"['High Underweight %', 'Vitamin A Deficiency']","High prevalence of underweight, Vitamin A deficiency","['Vitamin A supplementation program', 'Nutritional counseling and monitoring']",['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
8.18,2.73,10.0,9.09,Nyamasheke,0,0,0.0,550,90,45,15,55,50,-2.46,29.18,85,89,Low,['Vitamin A Deficiency'],Vitamin A deficiency,['Vitamin A supplementation program'],['Promote biofortified crops and kitchen gardens'],"['School feeding programs', 'Nutrition awareness campaigns']"
